N,Recursive,Iterative
88, 8.899951353669167e-08, 1.0599615052342415e-07
89, 9.20117599889636e-08, 9.300129022449255e-08
90, 9.199720807373524e-08, 9.000359568744898e-08
91, 1.0599615052342415e-07, 9.300129022449255e-08
92, 1.0700023267418146e-07, 1.0599615052342415e-07
93, 9.100767783820629e-08, 1.050066202878952e-07
94, 9.000359568744898e-08, 9.20117599889636e-08
95, 1.0798976290971041e-07, 1.0599615052342415e-07
96, 8.899951353669167e-08, 9.099312592297792e-08
97, 9.400537237524986e-08, 9.100767783820629e-08
98, 1.0601070243865252e-07, 1.0599615052342415e-07
99, 9.400537237524986e-08, 8.998904377222061e-08
100, 9.700306691229343e-08, 1.0599615052342415e-07
101, 9.100767783820629e-08, 9.300129022449255e-08
102, 9.000359568744898e-08, 9.199720807373524e-08
103, 9.099312592297792e-08, 9.199720807373524e-08
104, 9.199720807373524e-08, 1.0599615052342415e-07
105, 9.100767783820629e-08, 8.899951353669167e-08
106, 8.899951353669167e-08, 9.300129022449255e-08
107, 9.39908204600215e-08, 8.998904377222061e-08
108, 9.199720807373524e-08, 1.0601070243865252e-07
109, 9.199720807373524e-08, 9.300129022449255e-08
110, 9.199720807373524e-08, 9.20117599889636e-08
111, 1.0599615052342415e-07, 1.0599615052342415e-07
112, 1.0599615052342415e-07, 1.0599615052342415e-07
113, 8.899951353669167e-08, 9.100767783820629e-08
114, 9.199720807373524e-08, 9.099312592297792e-08
115, 9.199720807373524e-08, 9.199720807373524e-08
116, 8.899951353669167e-08, 8.899951353669167e-08
117, 9.099312592297792e-08, 1.0599615052342415e-07
118, 8.899951353669167e-08, 9.000359568744898e-08
119, 9.100767783820629e-08, 1.069856807589531e-07
120, 9.099312592297792e-08, 9.199720807373524e-08
121, 9.099312592297792e-08, 8.899951353669167e-08
